Year,Acousticness,Danceability,Energy,Liveness,Loudness,Speechiness,Valence,Popularity
1974,0.437281328,0.520911293,0.52354632,0.222878537,0.805157146,0.059729999,0.588757186,0.3591322978
1975,0.412618694,0.522661648,0.540239916,0.222867168,0.810592736,0.063233883,0.581027486,0.3875846995
1976,0.364928193,0.532539419,0.556596951,0.261345687,0.81455767,0.065289908,0.582322957,0.4098101619
1977,0.333592155,0.533200329,0.56177442,0.224270054,0.814558528,0.059948015,0.582747175,0.4201810203
1978,0.317850939,0.543479145,0.568538609,0.225184809,0.820432433,0.063941173,0.591561372,0.3947787144
1979,0.287045315,0.560300109,0.595238658,0.220596545,0.818238223,0.069620976,0.609406891,0.408307108
1980,0.280066079,0.556477548,0.602654294,0.208389388,0.823632185,0.06022702,0.601577897,0.4118669528
1981,0.284420873,0.543151339,0.606110542,0.225507951,0.818655765,0.058762585,0.578610581,0.3897572816
1982,0.288443631,0.56326583,0.599877868,0.20310178,0.819500381,0.066899749,0.589917647,0.4005072855
1983,0.284373486,0.545677155,0.610159163,0.206092429,0.815448509,0.06901339,0.573905925,0.4072781709
1984,0.278781095,0.537267256,0.599886379,0.196451258,0.809110157,0.060567384,0.562623257,0.4204496788
1985,0.271503483,0.553077941,0.621883704,0.204252127,0.815577267,0.05926798,0.563635526,0.4056465274
1986,0.274995867,0.544718831,0.619941508,0.210783676,0.816901743,0.065487193,0.553278337,0.4070508658
1987,0.299495897,0.538671628,0.590865469,0.200790735,0.807638833,0.059158083,0.539505543,0.4377439024
1988,0.314528396,0.545662769,0.58576729,0.20908015,0.806030883,0.067326615,0.55045137,0.4264365256
1989,0.292017074,0.549760778,0.596236263,0.201743733,0.812330182,0.065412003,0.553399874,0.421815235
1990,0.304412783,0.544175768,0.584204492,0.201706323,0.813830523,0.068208865,0.531090235,0.4388543372
1991,0.316884595,0.562283591,0.564625146,0.19009183,0.818229328,0.074846057,0.555345227,0.4725124241
1992,0.301414781,0.561079991,0.594457987,0.203523286,0.825453339,0.076849031,0.558826685,0.4675027624
1993,0.287403869,0.574983853,0.574878511,0.197849471,0.822111088,0.080188962,0.553976532,0.4607549234
1994,0.289785898,0.557400446,0.585999833,0.193030235,0.829453152,0.077591955,0.530109234,0.4866053512
1995,0.286191367,0.563911208,0.590289435,0.197657284,0.836437315,0.084940254,0.533062725,0.4837384196
1996,0.278502902,0.588621343,0.596297764,0.202831811,0.847017492,0.089803099,0.556450627,0.4761427781
1997,0.301720804,0.577588883,0.604810581,0.206775275,0.84903081,0.092261603,0.54487293,0.4892417582
1998,0.272794684,0.591503929,0.617545259,0.196665895,0.85368816,0.097204709,0.541174923,0.4833696244
