artist,value,kind
Adele,7,Grammy
Alicia Keys,7,Grammy
Carrie Underwood,7,Grammy
U2,7,Grammy
Bruno Mars,5,Grammy
Eminem,5,Grammy
John Mayer,5,Grammy
Kendrick Lamar,5,Grammy
Beyoncé,5,Grammy
Foo Fighters,4,Grammy
Norah Jones,4,Grammy
Taylor Swift,4,Grammy
Usher,4,Grammy
Childish Gambino,4,Grammy
Coldplay,4,Grammy
Amy Winehouse,3,Grammy
Bruce Springsteen,3,Grammy
Chris Stapleton,3,Grammy
Drake,3,Grammy
Keith Urban,3,Grammy
Little Big Town,3,Grammy
Metallica,3,Grammy
Red Hot Chili Peppers,3,Grammy
Tim Mcgraw,3,Grammy
Brandi Carlile,2,Grammy
Christina Aguilera,2,Grammy
Dixie Chicks,2,Grammy
Ed Sheeran,2,Grammy
Faith Hill,2,Grammy
Jay-Z,2,Grammy
John Legend,2,Grammy
Johnny Cash,2,Grammy
Kacey Musgraves,2,Grammy
Kanye West,2,Grammy
Kings Of Leon,2,Grammy
Lady Gaga,2,Grammy
Bradley Cooper,2,Grammy
Lenny Kravitz,2,Grammy
Mariah Carey,2,Grammy
Maroon 5,2,Grammy
Ne-Yo,2,Grammy
Outkast,2,Grammy
Shania Twain,2,Grammy
Sheryl Crow,2,Grammy
The Black Keys,2,Grammy
Twenty One Pilots,1,Grammy
Velvet Revolver,1,Grammy
Whitney Houston,1,Grammy
Wolfmother,1,Grammy
Sting,1,Grammy
Sugarland,1,Grammy
System Of A Down,1,Grammy
The Civil Wars,1,Grammy
The White Stripes,1,Grammy
Them Crooked Vultures,1,Grammy
Toni Braxton,1,Grammy
Sade,1,Grammy
Sarah Mclachlan,1,Grammy
Skrillex,1,Grammy
Slipknot,1,Grammy
Solange,1,Grammy
Steely Dan,1,Grammy
Tool,1,Grammy
Train,1,Grammy
Tony Bennett,1,Grammy
